Activo,Modelo,Banco,Mejores_Params
ECH,BILSTM,Tecnicos,"{'units': 32, 'dropout': 0.1}"
ECH,BILSTM,Macros,"{'units': 64, 'dropout': 0.1}"
ECH,BILSTM,Globales,"{'units': 256, 'dropout': 0.3}"
ECH,BILSTM,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM_RF,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM_RF,Precio_Volumen,"{'units': 32, 'dropout': 0.2}"
ECH,LSTM_RF,Tecnicos,"{'units': 64, 'dropout': 0.1}"
ECH,LSTM_RF,Macros,"{'units': 32, 'dropout': 0.1}"
ECH,LSTM_RF,Globales,"{'units': 64, 'dropout': 0.2}"
ECH,LSTM_RF,Hibrido_Precio_Tec_Vol,"{'units': 32, 'dropout': 0.2}"
ECH,RANDOM_FOREST,Macro_Vol,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}"
ECH,RANDOM_FOREST,Total,"{'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 30}"
ECH,XGBOOST,Macro_Vol,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
ECH,XGBOOST,Total,"{'subsample': 0.6, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1}"
ECH,LSTM,Macro_Vol,"{'units': 32, 'dropout': 0.5}"
ECH,LSTM,Total,"{'units': 32, 'dropout': 0.5}"
ECH,BILSTM,Macro_Vol,"{'units': 32, 'dropout': 0.3}"
ECH,BILSTM,Total,"{'units': 64, 'dropout': 0.5}"
ECH,ARIMA_LSTM,Macro_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
ECH,ARIMA_LSTM,Total,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.1}}"
ECH,LSTM_RF,Macro_Vol,"{'units': 32, 'dropout': 0.2}"
ECH,LSTM_RF,Total,"{'units': 32, 'dropout': 0.3}"
Oro,ARIMA_LSTM,Macro_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 32, 'dropout': 0.1}}"
Oro,ARIMA_LSTM,Total,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.1}}"
Oro,LSTM_RF,Macro_Vol,"{'units': 32, 'dropout': 0.2}"
Oro,LSTM_RF,Total,"{'units': 32, 'dropout': 0.2}"
SP500,RANDOM_FOREST,Macro_Vol,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}"
SP500,RANDOM_FOREST,Total,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}"
SP500,XGBOOST,Macro_Vol,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
SP500,XGBOOST,Total,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 9, 'learning_rate': 0.01}"
SP500,LSTM,Macro_Vol,"{'units': 32, 'dropout': 0.1}"
SP500,LSTM,Total,"{'units': 64, 'dropout': 0.2}"
SP500,BILSTM,Macro_Vol,"{'units': 64, 'dropout': 0.5}"
SP500,BILSTM,Total,"{'units': 32, 'dropout': 0.1}"
SP500,ARIMA_LSTM,Macro_Vol,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.4}}"
SP500,ARIMA_LSTM,Total,"{'arima_order': (2, 0, 1), 'lstm_params': {'units': 256, 'dropout': 0.3}}"
SP500,LSTM_RF,Macro_Vol,"{'units': 32, 'dropout': 0.3}"
SP500,LSTM_RF,Total,"{'units': 128, 'dropout': 0.2}"
Oro,RANDOM_FOREST,Precio_Puro,"{'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 30}"
Oro,RANDOM_FOREST,Tecnicos,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 5}"
Oro,RANDOM_FOREST,Macro_Vol,"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}"
Oro,RANDOM_FOREST,Total,"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}"
Oro,XGBOOST,Precio_Puro,"{'subsample': 0.6, 'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.1}"
Oro,XGBOOST,Tecnicos,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05}"
Oro,XGBOOST,Macro_Vol,"{'subsample': 0.8, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.05}"
Oro,XGBOOST,Total,"{'subsample': 1.0, 'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.01}"
Oro,LSTM,Precio_Puro,"{'units': 32, 'dropout': 0.1}"
Oro,LSTM,Tecnicos,"{'units': 64, 'dropout': 0.5}"
Oro,LSTM,Macro_Vol,"{'units': 256, 'dropout': 0.3}"
Oro,LSTM,Total,"{'units': 64, 'dropout': 0.2}"
Oro,BILSTM,Precio_Puro,"{'units': 32, 'dropout': 0.3}"
Oro,BILSTM,Tecnicos,"{'units': 32, 'dropout': 0.5}"
Oro,BILSTM,Macro_Vol,"{'units': 256, 'dropout': 0.1}"
Oro,BILSTM,Total,"{'units': 32, 'dropout': 0.3}"
EURUSD,LSTM_RF,Total,"{'units': 64, 'dropout': 0.2, 'rf_n_estimators': 100, 'rf_max_depth': 5}"
